사용월,호선명,역ID,지하철역,유임승차,유임하차,무임승차,무임하차,작업일시,
Jun-22,7호선,2723,면목,"338,407","320,312","90,537","93,303",2022-07-03 9:48,"842,559"
Jun-22,7호선,2724,사가정,"353,326","348,449","95,159","94,517",2022-07-03 9:48,"891,451"
Jun-22,7호선,2725,용마산(용마폭포공원),"132,898","125,807","33,940","36,710",2022-07-03 9:48,"329,355"
Jun-22,7호선,2726,중곡,"241,834","219,480","59,338","59,696",2022-07-03 9:48,"580,348"
Jun-22,7호선,2727,군자(능동),"340,350","262,230","75,691","65,363",2022-07-03 9:48,"743,634"
Jun-22,7호선,2728,어린이대공원(세종대),"368,976","371,206","40,723","40,569",2022-07-03 9:48,"821,474"
Jun-22,7호선,2729,건대입구,"319,120","340,821","53,235","48,500",2022-07-03 9:48,"761,676"
Jun-22,7호선,2730,뚝섬유원지,"233,903","220,562","44,385","44,025",2022-07-03 9:48,"542,875"
Jun-22,7호선,2731,청담,"443,677","508,582","72,406","69,584",2022-07-03 9:48,"1,094,249"
Jun-22,7호선,2732,강남구청,"386,235","435,672","48,122","49,289",2022-07-03 9:48,"919,318"
Jun-22,7호선,2733,학동,"550,416","591,040","57,688","54,896",2022-07-03 9:48,"1,254,040"
Jun-22,7호선,2734,논현,"448,807","484,052","43,000","43,169",2022-07-03 9:48,"1,019,028"
Jun-22,7호선,2735,반포,"135,149","131,044","33,067","31,701",2022-07-03 9:48,"330,961"
Jun-22,7호선,2736,고속터미널,"427,392","336,462","72,994","63,184",2022-07-03 9:48,"900,032"
Jun-22,7호선,2737,내방,"317,833","326,793","64,774","62,860",2022-07-03 9:48,"772,260"
Jun-22,7호선,2738,이수,"378,653","365,673","76,743","72,515",2022-07-03 9:48,"893,584"
Jun-22,7호선,2739,남성,"243,331","219,881","68,171","67,044",2022-07-03 9:48,"598,427"
Jun-22,7호선,2740,숭실대입구(살피재),"306,129","304,697","58,250","60,732",2022-07-03 9:48,"729,808"
Jun-22,7호선,2741,상도,"252,596","243,503","58,295","55,636",2022-07-03 9:48,"610,030"
Jun-22,7호선,2742,장승배기,"189,729","181,293","62,106","63,083",2022-07-03 9:48,"496,211"
Jun-22,7호선,2743,신대방삼거리,"342,789","317,778","84,108","85,779",2022-07-03 9:48,"830,454"
Jun-22,7호선,2744,보라매,"191,173","189,775","36,055","36,739",2022-07-03 9:48,"453,742"
Jun-22,7호선,2745,신풍,"253,286","238,146","71,523","71,790",2022-07-03 9:48,"634,745"
Jun-22,7호선,2746,대림(구로구청),"206,724","208,866","36,002","35,005",2022-07-03 9:48,"486,597"
Jun-22,7호선,2747,남구로,"353,174","373,408","58,008","58,297",2022-07-03 9:48,"842,887"
Jun-22,7호선,2748,가산디지털단지,"1,009,940","1,007,531","83,005","78,395",2022-07-03 9:48,"2,178,871"
Jun-22,7호선,2749,철산,"489,956","500,023","96,085","94,902",2022-07-03 9:48,"1,180,966"
Jun-22,7호선,2750,광명사거리,"472,950","459,727","140,254","145,153",2022-07-03 9:48,"1,218,084"
Jun-22,7호선,2751,천왕,"258,209","242,601","54,023","53,500",2022-07-03 9:48,"608,333"
Jun-22,7호선,2752,온수(성공회대입구),"241,127","226,655","38,403","36,323",2022-07-03 9:48,"542,508"
Jun-22,8호선,2811,암사,"416,649","357,608","99,523","98,033",2022-07-03 9:48,"971,813"
Jun-22,8호선,2812,천호(풍납토성),"334,590","400,051","78,936","75,960",2022-07-03 9:48,"889,537"
Jun-22,8호선,2813,강동구청,"217,753","224,803","61,298","61,135",2022-07-03 9:48,"564,989"
Jun-22,8호선,2814,몽촌토성(평화의문),"141,192","146,257","31,843","31,511",2022-07-03 9:48,"350,803"
Jun-22,8호선,2815,잠실(송파구청),"350,963","426,707","67,958","66,751",2022-07-03 9:48,"912,379"
Jun-22,8호선,2816,석촌,"163,957","195,424","47,004","50,564",2022-07-03 9:48,"456,949"
Jun-22,8호선,2817,송파,"180,441","176,649","56,115","55,673",2022-07-03 9:48,"468,878"
Jun-22,8호선,2818,가락시장,"150,139","173,218","57,131","58,036",2022-07-03 9:48,"438,524"
Jun-22,8호선,2819,문정,"483,416","511,533","55,708","55,300",2022-07-03 9:48,"1,105,957"
Jun-22,8호선,2820,장지,"399,632","382,269","76,144","72,135",2022-07-03 9:48,"930,180"
Jun-22,8호선,2821,복정,"227,495","191,396","39,253","35,084",2022-07-03 9:48,"493,228"
Jun-22,8호선,2822,산성,"123,198","121,070","30,483","33,416",2022-07-03 9:48,"308,167"
Jun-22,8호선,2823,남한산성입구(성남법원.검찰청),"318,666","285,209","76,760","73,956",2022-07-03 9:48,"754,591"
Jun-22,8호선,2824,단대오거리,"231,379","220,682","69,833","67,177",2022-07-03 9:48,"589,071"
Jun-22,8호선,2825,신흥,"85,827","94,087","34,426","35,674",2022-07-03 9:48,"250,014"
Jun-22,8호선,2826,수진,"108,793","97,464","44,215","43,280",2022-07-03 9:48,"293,752"
Jun-22,8호선,2827,모란,"84,715","71,396","52,726","40,939",2022-07-03 9:48,"249,776"
Jun-22,8호선,2828,남위례,"123,536","128,852","24,850","25,257",2022-07-03 9:48,"302,495"
Jun-22,9호선,4101,개화,"58,088","40,386","13,349","10,885",2022-07-03 9:48,"122,708"
Jun-22,9호선,4102,김포공항,"221,362","338,456","19,958","24,712",2022-07-03 9:48,"604,488"
Jun-22,9호선,4103,공항시장,"61,253","64,974","23,655","26,026",2022-07-03 9:48,"175,908"
Jun-22,9호선,4104,신방화,"146,256","139,159","44,165","44,364",2022-07-03 9:48,"373,944"
